Word,number,Frequency
lên_tiếng,1097,0.08706349206349207
tập_đoàn,1097,0.08706349206349207
lợi,1094,0.08682539682539682
công_nghệ,1094,0.08682539682539682
buộc,1092,0.08666666666666667
chân,1092,0.08666666666666667
đài,1091,0.08658730158730159
xét_xử,1090,0.0865079365079365
bắt_giữ,1089,0.08642857142857142
tuy,1089,0.08642857142857142
công_trình,1089,0.08642857142857142
toàn_diện,1088,0.08634920634920636
đại_biểu,1086,0.08619047619047619
ủy,1085,0.08611111111111111
công_khai,1085,0.08611111111111111
giống,1082,0.08587301587301588
cơ_quan_chức_năng,1080,0.08571428571428572
vòng,1076,0.0853968253968254
kết_luận,1075,0.08531746031746032
ngân_hàng,1073,0.08515873015873016
hiện_trường,1073,0.08515873015873016
lễ,1069,0.08484126984126984
tìm_kiếm,1068,0.08476190476190476
phúc,1067,0.08468253968253968
quan_điểm,1066,0.0846031746031746
chiến_tranh,1066,0.0846031746031746
chắc_chắn,1065,0.08452380952380953
cựu,1062,0.08428571428571428
đem,1061,0.0842063492063492
đời_sống,1061,0.0842063492063492
khai_thác,1060,0.08412698412698413
cách_mạng,1060,0.08412698412698413
usd,1059,0.08404761904761905
công_việc,1058,0.08396825396825397
đơn,1057,0.08388888888888889
căn_cứ,1054,0.08365079365079366
biến,1053,0.08357142857142857
đe_dọa,1051,0.08341269841269841
đồng_ý,1050,0.08333333333333333
huy_động,1050,0.08333333333333333
văn_phòng,1045,0.08293650793650793
chọn,1043,0.08277777777777778
cấm,1043,0.08277777777777778
đọc,1040,0.08253968253968254
đa,1038,0.08238095238095237
vàng,1037,0.0823015873015873
hội,1036,0.08222222222222222
ghi_nhận,1036,0.08222222222222222
nguy_hiểm,1036,0.08222222222222222
diễn_biến,1034,0.08206349206349206
tài_chính,1034,0.08206349206349206
sai,1033,0.08198412698412698
quan_chức,1032,0.08190476190476191
hộ,1026,0.08142857142857143
trú,1026,0.08142857142857143
khóa,1026,0.08142857142857143
đầy_đủ,1026,0.08142857142857143
phản_đối,1026,0.08142857142857143
sa,1025,0.08134920634920635
to,1025,0.08134920634920635
trái,1023,0.08119047619047619
hạn_chế,1021,0.08103174603174604
tử_vong,1019,0.08087301587301587
áp_dụng,1019,0.08087301587301587
âu,1017,0.08071428571428571
nhu_cầu,1017,0.08071428571428571
đại_học,1016,0.08063492063492063
vũ,1016,0.08063492063492063
giang,1016,0.08063492063492063
hưởng,1013,0.0803968253968254
y_tế,1011,0.08023809523809523
đòi,1011,0.08023809523809523
ca,1010,0.08015873015873017
bày_tỏ,1009,0.08007936507936508
lào,1006,0.07984126984126984
dự_kiến,1000,0.07936507936507936
bất_cứ,999,0.07928571428571428
ban_đầu,998,0.07920634920634921
ng,997,0.07912698412698413
mai,995,0.07896825396825397
hiện_tại,995,0.07896825396825397
tại_sao,994,0.07888888888888888
khoản,993,0.07880952380952382
nhắc,993,0.07880952380952382
thân,992,0.07873015873015873
nội,992,0.07873015873015873
thực_sự,991,0.07865079365079365
dòng,991,0.07865079365079365
viên,991,0.07865079365079365
chặt_chẽ,988,0.0784126984126984
bảo,984,0.07809523809523809
ghi,983,0.07801587301587301
giam,982,0.07793650793650794
chúng,982,0.07793650793650794
võ,979,0.0776984126984127
mẹ,979,0.0776984126984127
quân_sự,978,0.07761904761904762
tòa_án,977,0.07753968253968253
giết,977,0.07753968253968253
định,976,0.07746031746031747
bờ,975,0.07738095238095238
vn,975,0.07738095238095238
bối_cảnh,973,0.07722222222222222
chuyên_gia,973,0.07722222222222222
chờ,973,0.07722222222222222
niềm,973,0.07722222222222222
đề_xuất,972,0.07714285714285714
lượng,971,0.07706349206349207
cũ,971,0.07706349206349207
rời,970,0.07698412698412699
p,969,0.0769047619047619
đảo,964,0.07650793650793651
chủ_động,964,0.07650793650793651
kịp_thời,964,0.07650793650793651
cần_thiết,959,0.07611111111111112
tác_động,958,0.07603174603174603
bốn,954,0.07571428571428572
đời,953,0.07563492063492064
nghi,952,0.07555555555555556
nhớ,952,0.07555555555555556
tổ_quốc,951,0.07547619047619047
